Date: December 7, 2024 | Session: 15 | Platform: Red | Start Time: 10:00 AM | Weight Class: Male 89kg C | Entry Total: 216-250 | Lifters: 13
Date: December 7, 2024 | Session: 15 | Platform: White | Start Time: 10:00 AM | Weight Class: Female 81kg & 76+kg E | Entry Total: 90-130 | Lifters: 12
Date: December 7, 2024 | Session: 15 | Platform: Blue | Start Time: 10:00 AM | Weight Class: Female 76kg C | Entry Total: 155-168 | Lifters: 13
Date: December 7, 2024 | Session: 16 | Platform: Red | Start Time: 12:00 PM | Weight Class: Female 71kg & 64+kg B | Entry Total: 177-185 | Lifters: 12
Date: December 7, 2024 | Session: 16 | Platform: White | Start Time: 12:00 PM | Weight Class: Male 96kg & 89+kg C | Entry Total: 240-280 | Lifters: 10
Date: December 7, 2024 | Session: 16 | Platform: Blue | Start Time: 12:00 PM | Weight Class: Female 76kg B | Entry Total: 170-185 | Lifters: 13
Date: December 7, 2024 | Session: 17 | Platform: Red | Start Time: 2:00 PM | Weight Class: Male 89kg B | Entry Total: 250-280 | Lifters: 13
Date: December 7, 2024 | Session: 17 | Platform: White | Start Time: 2:00 PM | Weight Class: Female 81kg & 76+kg D | Entry Total: 130-147 | Lifters: 12
Date: December 7, 2024 | Session: 17 | Platform: Blue | Start Time: 2:00 PM | Weight Class: Female 71kg & 64+kg A | Entry Total: 185-225 | Lifters: 12
Date: December 7, 2024 | Session: 18 | Platform: Red | Start Time: 4:00 PM | Weight Class: Male 89kg A | Entry Total: 282-320 | Lifters: 13
Date: December 7, 2024 | Session: 18 | Platform: White | Start Time: 4:00 PM | Weight Class: Male 96kg & 89+kg B | Entry Total: 282-300 | Lifters: 10
Date: December 7, 2024 | Session: 18 | Platform: Blue | Start Time: 4:00 PM | Weight Class: Female 81kg & 76+kg C | Entry Total: 148-170 | Lifters: 11
Date: December 7, 2024 | Session: 19 | Platform: Red | Start Time: 6:00 PM | Weight Class: Female 76kg A | Entry Total: 186-215 | Lifters: 13
Date: December 7, 2024 | Session: 19 | Platform: White | Start Time: 6:00 PM | Weight Class: Male 96kg & 89+kg A | Entry Total: 300-345 | Lifters: 10
Date: December 7, 2024 | Session: 19 | Platform: Blue | Start Time: 6:00 PM | Weight Class: Female 81kg & 76+kg B | Entry Total: 171-188 | Lifters: 11
